typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","170","COL","Colombia","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8117564","false","-1","N/A",,"false","8117564","false",,"false",,"33043239","33043239","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","178","COG","Congo","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6486","false","-1","N/A",,"false","6486","false",,"false",,"52622","52622","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","188","CRI","Costa Rica","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2978068","false","-1","N/A",,"false","2978068","false",,"false",,"14577449","14577449","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","191","HRV","Croatia","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","53404","false","-1","N/A",,"false","53404","false",,"false",,"59099","59099","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","192","CUB","Cuba","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","68388","false","-1","N/A",,"false","68388","false",,"false",,"288956","288956","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","196","CYP","Cyprus","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10043","false","-1","N/A",,"false","10043","false",,"false",,"63055","63055","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","208","DNK","Denmark","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","160","false","-1","N/A",,"false","160","false",,"false",,"1703","1703","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","222","SLV","El Salvador","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","373438","false","-1","N/A",,"false","373438","false",,"false",,"2132244","2132244","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","231","ETH","Ethiopia","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3968216","false","-1","N/A",,"false","3968216","false",,"false",,"19733228","19733228","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","246","FIN","Finland","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","975","false","-1","N/A",,"false","975","false",,"false",,"8362","8362","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","251","FRA","France","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","590818","false","-1","N/A",,"false","590818","false",,"false",,"3820214","3820214","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","262","DJI","Djibouti","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","130766","false","-1","N/A",,"false","130766","false",,"false",,"785345","785345","0","true","false",
