country,year,species,production_bags_1000
Bosnia and Herzegovina,2020,Arabica,0.0
Bosnia and Herzegovina,2020,Robusta,0.0
Bosnia and Herzegovina,2021,Arabica,0.0
Bosnia and Herzegovina,2021,Robusta,0.0
Bosnia and Herzegovina,2022,Arabica,0.0
Bosnia and Herzegovina,2022,Robusta,0.0
Bosnia and Herzegovina,2023,Arabica,0.0
Bosnia and Herzegovina,2023,Robusta,0.0
Bosnia and Herzegovina,2024,Arabica,0.0
Bosnia and Herzegovina,2024,Robusta,0.0
Bosnia and Herzegovina,2025,Arabica,0.0
Bosnia and Herzegovina,2025,Robusta,0.0
Brazil,2015,Arabica,36100.0
Brazil,2015,Robusta,13300.0
Brazil,2016,Arabica,45600.0
Brazil,2016,Robusta,10500.0
Brazil,2017,Arabica,39500.0
Brazil,2017,Robusta,12600.0
Brazil,2018,Arabica,49700.0
Brazil,2018,Robusta,16800.0
Brazil,2019,Arabica,42000.0
Brazil,2019,Robusta,18500.0
Brazil,2020,Arabica,49700.0
Brazil,2020,Robusta,20200.0
Brazil,2021,Arabica,36400.0
Brazil,2021,Robusta,21700.0
Brazil,2022,Arabica,39800.0
Brazil,2022,Robusta,22800.0
Brazil,2023,Arabica,44900.0
Brazil,2023,Robusta,21400.0
Brazil,2024,Arabica,44000.0
Brazil,2024,Robusta,21000.0
Brazil,2025,Arabica,38000.0
Brazil,2025,Robusta,25000.0
Burundi,2015,Arabica,240.0
Burundi,2015,Robusta,0.0
Burundi,2016,Arabica,200.0
Burundi,2016,Robusta,0.0
Burundi,2017,Arabica,205.0
Burundi,2017,Robusta,0.0
Burundi,2018,Arabica,205.0
Burundi,2018,Robusta,0.0
Burundi,2019,Arabica,265.0
Burundi,2019,Robusta,0.0
Burundi,2020,Arabica,230.0
Burundi,2020,Robusta,0.0
Burundi,2021,Arabica,165.0
Burundi,2021,Robusta,0.0
Burundi,2022,Arabica,175.0
Burundi,2022,Robusta,0.0
Burundi,2023,Arabica,140.0
Burundi,2023,Robusta,0.0
Burundi,2024,Arabica,115.0
Burundi,2024,Robusta,0.0
Burundi,2025,Arabica,125.0
Burundi,2025,Robusta,0.0
Cameroon,2015,Arabica,50.0
Cameroon,2015,Robusta,575.0
Cameroon,2016,Arabica,50.0
Cameroon,2016,Robusta,450.0
Cameroon,2017,Arabica,50.0
Cameroon,2017,Robusta,375.0
Cameroon,2018,Arabica,50.0
Cameroon,2018,Robusta,400.0
Cameroon,2019,Arabica,50.0
Cameroon,2019,Robusta,425.0
Cameroon,2020,Arabica,50.0
Cameroon,2020,Robusta,350.0
Cameroon,2021,Arabica,25.0
Cameroon,2021,Robusta,250.0
Cameroon,2022,Arabica,50.0
Cameroon,2022,Robusta,220.0
Cameroon,2023,Arabica,25.0
Cameroon,2023,Robusta,190.0
Cameroon,2024,Arabica,25.0
Cameroon,2024,Robusta,180.0
Cameroon,2025,Arabica,25.0
